,0 - zero,1 - one,2 - two,3 - three,4 - four,5 - five,6 - six,7 - seven,8 - eight,9 - nine,accuracy,macro avg,weighted avg
precision,0.994908350305499,0.9938650306748467,0.9951503394762367,0.9960474308300395,0.9938775510204082,0.9966254218222722,0.9958115183246073,0.9922178988326849,0.9989690721649485,0.991106719367589,0.9948,0.9948579332819133,0.9948037670646196
recall,0.996938775510204,0.9991189427312775,0.9941860465116279,0.998019801980198,0.9918533604887984,0.9932735426008968,0.9926931106471816,0.9922178988326849,0.9948665297741273,0.9940535183349851,0.9948,0.9947221527411981,0.9948
f1-score,0.9959225280326198,0.9964850615114236,0.9946679592825982,0.9970326409495549,0.9928644240570846,0.9949466591802358,0.9942498693152118,0.9922178988326849,0.9969135802469136,0.9925779317169718,0.9948,0.99478785531253,0.9947996543105845
support,980.0,1135.0,1032.0,1010.0,982.0,892.0,958.0,1028.0,974.0,1009.0,0.9948,10000.0,10000.0
