,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck,accuracy,macro avg,weighted avg
precision,0.7839506172839507,0.8456896551724138,0.7888446215139442,0.7651775486827033,0.8646616541353384,0.8829516539440203,0.9116751269035533,0.8471698113207548,0.8667279411764706,0.9182839632277835,0.8467,0.8475132593360932,0.8475132593360931
recall,0.889,0.981,0.792,0.668,0.805,0.694,0.898,0.898,0.943,0.899,0.8467,0.8466999999999999,0.8467
f1-score,0.8331771321462043,0.9083333333333333,0.7904191616766467,0.7132941804591564,0.833764888658726,0.7771556550951848,0.9047858942065491,0.8718446601941747,0.9032567049808429,0.9085396664982315,0.8467,0.844457127724905,0.844457127724905
support,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.8467,10000.0,10000.0
