,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck,accuracy,macro avg,weighted avg
precision,0.8179347826086957,0.9212435233160622,0.8340425531914893,0.7224118316268487,0.8236453201970443,0.7527749747729566,0.8895768833849329,0.8308957952468007,0.9219562955254943,0.8364140480591498,0.8355,0.8350896007929475,0.8350896007929474
recall,0.903,0.889,0.784,0.635,0.836,0.746,0.862,0.909,0.886,0.905,0.8355,0.8355,0.8355
f1-score,0.8583650190114068,0.9048346055979644,0.8082474226804124,0.6758914316125598,0.8297766749379653,0.7493721747865394,0.8755713560182834,0.8681948424068768,0.9036206017338093,0.8693563880883766,0.8355,0.8343230516874195,0.8343230516874193
support,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.8355,10000.0,10000.0
