,0 - zero,1 - one,2 - two,3 - three,4 - four,5 - five,6 - six,7 - seven,8 - eight,9 - nine,accuracy,macro avg,weighted avg
precision,0.994908350305499,0.9973568281938326,0.9903846153846154,0.9950641658440277,0.9949031600407747,0.9977477477477478,0.9979057591623036,0.99706457925636,0.9969167523124358,0.9910979228486647,0.9953,0.9953349881096261,0.9953078633689451
recall,0.996938775510204,0.9973568281938326,0.998062015503876,0.998019801980198,0.9938900203665988,0.9932735426008968,0.9947807933194155,0.9912451361867705,0.9958932238193019,0.9930624380574826,0.9953,0.9952522575538575,0.9953
f1-score,0.9959225280326198,0.9973568281938326,0.9942084942084942,0.9965397923875432,0.9943963321446765,0.9955056179775281,0.996340825927862,0.9941463414634146,0.9964047252182845,0.9920792079207921,0.9953,0.9952900693475047,0.9953003716626551
support,980.0,1135.0,1032.0,1010.0,982.0,892.0,958.0,1028.0,974.0,1009.0,0.9953,10000.0,10000.0
