,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck,accuracy,macro avg,weighted avg
precision,0.8293172690763052,0.9341963322545846,0.7411545623836127,0.7300683371298405,0.7330434782608696,0.7210379981464319,0.8532019704433498,0.9127906976744186,0.8440959409594095,0.9103521878335112,0.8169,0.8209258774162335,0.8209258774162334
recall,0.826,0.866,0.796,0.641,0.843,0.778,0.866,0.785,0.915,0.853,0.8169,0.8169000000000001,0.8169
f1-score,0.8276553106212425,0.8988064348728594,0.7675988428158148,0.6826411075612353,0.7841860465116279,0.7484367484367485,0.8595533498759306,0.8440860215053764,0.8781190019193857,0.8807434176561694,0.8169,0.817182628177639,0.817182628177639
support,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.8169,10000.0,10000.0
