,0 - zero,1 - one,2 - two,3 - three,4 - four,5 - five,6 - six,7 - seven,8 - eight,9 - nine,accuracy,macro avg,weighted avg
precision,0.9969262295081968,0.9973614775725593,0.9903753609239654,0.9891838741396264,0.994908350305499,0.9943883277216611,0.9958289885297185,0.9950932286555446,0.9938587512794268,0.996011964107677,0.9944,0.9943936552743875,0.9944084961245341
recall,0.9928571428571429,0.9991189427312775,0.997093023255814,0.996039603960396,0.994908350305499,0.9932735426008968,0.9968684759916493,0.9863813229571985,0.9969199178644764,0.9900891972249752,0.9944,0.9943549519749325,0.9944
f1-score,0.9948875255623721,0.9982394366197183,0.993722839208112,0.9925999013320178,0.994908350305499,0.9938306225462703,0.9963484611371936,0.9907181240840254,0.9953869810353665,0.9930417495029821,0.9944,0.9943683991333557,0.9943982423438652
support,980.0,1135.0,1032.0,1010.0,982.0,892.0,958.0,1028.0,974.0,1009.0,0.9944,10000.0,10000.0
