,0 - zero,1 - one,2 - two,3 - three,4 - four,5 - five,6 - six,7 - seven,8 - eight,9 - nine,accuracy,macro avg,weighted avg
precision,0.9969481180061037,0.9956063268892794,0.9922928709055877,0.9940769990128332,0.9959266802443992,0.9955106621773289,0.9979013641133263,0.9970703125,1.0,0.9950396825396826,0.996,0.9960373016388541,0.9960054686858126
recall,1.0,0.9982378854625551,0.998062015503876,0.997029702970297,0.9959266802443992,0.9943946188340808,0.9926931106471816,0.9931906614785992,0.9958932238193019,0.9940535183349851,0.996,0.9959481417295276,0.996
f1-score,0.9984717269485481,0.9969203695556533,0.9951690821256038,0.995551161641127,0.9959266802443992,0.9949523275378576,0.9952904238618524,0.9951267056530214,0.9979423868312757,0.9945463559742191,0.996,0.9959897220373557,0.9959997191452785
support,980.0,1135.0,1032.0,1010.0,982.0,892.0,958.0,1028.0,974.0,1009.0,0.996,10000.0,10000.0
