,0 - zero,1 - one,2 - two,3 - three,4 - four,5 - five,6 - six,7 - seven,8 - eight,9 - nine,accuracy,macro avg,weighted avg
precision,0.9949238578680203,0.9903846153846154,0.9941972920696325,0.9940769990128332,0.9939024390243902,0.9977426636568849,0.9979013641133263,0.9970559371933267,0.995880535530381,0.9910979228486647,0.9946,0.9947163626702075,0.9946108400711113
recall,1.0,0.9982378854625551,0.9961240310077519,0.997029702970297,0.9959266802443992,0.9910313901345291,0.9926931106471816,0.9883268482490273,0.9928131416837782,0.9930624380574826,0.9946,0.9945245228457,0.9946
f1-score,0.9974554707379135,0.9942957437472576,0.995159728944821,0.995551161641127,0.9949135300101729,0.9943757030371203,0.9952904238618524,0.9926722032242306,0.9943444730077121,0.9920792079207921,0.9946,0.9946137646133,0.9945986446059741
support,980.0,1135.0,1032.0,1010.0,982.0,892.0,958.0,1028.0,974.0,1009.0,0.9946,10000.0,10000.0
