,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck,accuracy,macro avg,weighted avg
precision,0.8450292397660819,0.8868991517436381,0.740909090909091,0.6878850102669405,0.8025793650793651,0.7497665732959851,0.8856243441762854,0.9328782707622298,0.9158215010141988,0.921443736730361,0.834,0.8368836283744177,0.8368836283744177
recall,0.867,0.941,0.815,0.67,0.809,0.803,0.844,0.82,0.903,0.868,0.834,0.834,0.834
f1-score,0.8558736426456071,0.9131489568170791,0.7761904761904762,0.6788247213779128,0.8057768924302788,0.7754707870593917,0.8643113159242192,0.8728046833422033,0.9093655589123867,0.893923789907312,0.834,0.8345690824606866,0.8345690824606867
support,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.834,10000.0,10000.0
