,0 - zero,1 - one,2 - two,3 - three,4 - four,5 - five,6 - six,7 - seven,8 - eight,9 - nine,accuracy,macro avg,weighted avg
precision,0.9949135300101729,0.9964788732394366,0.9980449657869013,0.9950641658440277,1.0,0.9943883277216611,0.9958246346555324,0.9865255052935515,0.9989669421487604,0.9862745098039216,0.9946,0.9946481454503966,0.994630338254582
recall,0.9979591836734694,0.9973568281938326,0.9893410852713178,0.998019801980198,0.9867617107942973,0.9932735426008968,0.9958246346555324,0.9970817120622568,0.9928131416837782,0.9970267591674926,0.9946,0.9945458400083073,0.9946
f1-score,0.9964340295466123,0.9969176574196389,0.9936739659367396,0.9965397923875432,0.9933367503844183,0.9938306225462703,0.9958246346555324,0.9917755200774069,0.995880535530381,0.9916214884179398,0.9946,0.9945834996902482,0.9946016175533743
support,980.0,1135.0,1032.0,1010.0,982.0,892.0,958.0,1028.0,974.0,1009.0,0.9946,10000.0,10000.0
