,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck,accuracy,macro avg,weighted avg
precision,0.8684985279685966,0.9772468714448237,0.8650963597430407,0.7342007434944238,0.8788501026694046,0.8129285014691479,0.8992172211350293,0.8850687622789783,0.8821892393320965,0.9223697650663942,0.8702,0.8725666094601936,0.8725666094601935
recall,0.885,0.859,0.808,0.79,0.856,0.83,0.919,0.901,0.951,0.903,0.8702,0.8702,0.8702
f1-score,0.8766716196136701,0.9143161255987228,0.8355739400206825,0.7610789980732178,0.867274569402229,0.8213755566551212,0.9090009891196835,0.8929633300297324,0.9153031761308951,0.9125821121778676,0.8702,0.8706140416821823,0.8706140416821821
support,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.8702,10000.0,10000.0
