,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck,accuracy,macro avg,weighted avg
precision,0.8395872420262664,0.9148296593186372,0.8618063112078346,0.6934720908230843,0.8213256484149856,0.8416666666666667,0.8625592417061612,0.8588235294117647,0.8987341772151899,0.8976458546571137,0.8481,0.8490450421447704,0.8490450421447704
recall,0.895,0.913,0.792,0.733,0.855,0.707,0.91,0.876,0.923,0.877,0.8481,0.8481,0.8481
f1-score,0.8664085188770572,0.913913913913914,0.8254299114121939,0.712688381137579,0.8378245957863792,0.7684782608695652,0.8856447688564477,0.8673267326732673,0.9107054760730143,0.887202832574608,0.8481,0.8475623392174025,0.8475623392174025
support,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.8481,10000.0,10000.0
