epoch,train_loss,train_acc,test_loss,test_acc,train_time,eval_time,epoch_time
1,1.2347172021230062,0.6184833333333334,0.9568875761032104,0.7146,11.976804733276367,1.8314061164855957,13.808212757110596
2,0.8974811179161072,0.72605,0.8513656885147095,0.7435,11.830273151397705,2.0140864849090576,13.844361543655396
3,0.8284283425331116,0.7446666666666667,0.8083425838470459,0.7536,11.897480010986328,2.0197596549987793,13.91724157333374
4,0.7941066512107849,0.7534666666666666,0.7729099800109863,0.7648,11.804911375045776,2.0297775268554688,13.83469033241272
5,0.7715961071968078,0.7594333333333333,0.7583710886001587,0.7715,11.918751001358032,1.997354507446289,13.916107177734375
6,0.751525553671519,0.7642333333333333,0.7538682728767395,0.7662,11.783003568649292,1.9894702434539795,13.772476196289062
7,0.7423205673217773,0.7667666666666667,0.7366362023353576,0.7728,11.82682180404663,1.9919261932373047,13.81874966621399
8,0.7322271087328593,0.76905,0.738048823595047,0.7751,11.89404034614563,1.978475570678711,13.872517824172974
9,0.7254774580637614,0.7708833333333334,0.7184230023384094,0.7769,11.720044136047363,1.9948222637176514,13.714868307113647
10,0.7188292123794555,0.7735666666666666,0.7227971201896668,0.778,11.88274335861206,1.9733028411865234,13.856048345565796
11,0.7143693060874939,0.77605,0.7190135624885559,0.7773,11.945953607559204,2.024078845977783,13.970034122467041
12,0.7053712555249532,0.7769166666666667,0.7110247373104095,0.779,11.919575691223145,2.0308666229248047,13.95044469833374
13,0.7059390491803487,0.7754333333333333,0.7045410201072693,0.7832,11.846985816955566,2.003373146057129,13.850361108779907
14,0.6968575398763021,0.77865,0.7114921635150909,0.7812,11.837261438369751,1.9818365573883057,13.81909966468811
15,0.7012172050476074,0.7766,0.7037847820281983,0.7825,11.874964714050293,2.01985502243042,13.894821166992188
16,0.6967053694089254,0.778,0.6985337505817414,0.7825,11.793220043182373,1.960738182067871,13.753960371017456
17,0.6942114542325337,0.7790333333333334,0.6976852492332458,0.784,11.741176128387451,1.9437661170959473,13.684945344924927
18,0.6931739549636841,0.77935,0.6978182388305664,0.7846,11.860607147216797,1.9422662258148193,13.802875518798828
19,0.6869860678037008,0.7818833333333334,0.7042806639671325,0.7821,11.891227960586548,1.9271488189697266,13.818378210067749
20,0.6865259868939717,0.7827166666666666,0.7029307117938995,0.7854,11.862114906311035,1.9277544021606445,13.789870977401733
21,0.6819839876810709,0.7836333333333333,0.697129781293869,0.7825,10.523046970367432,1.762286901473999,12.285335540771484
22,0.6868847395896912,0.7806833333333333,0.6955314712047577,0.784,10.549220323562622,1.7818708419799805,12.331093311309814
23,0.6861089734713236,0.78165,0.6953383721351624,0.7831,10.480923891067505,1.7254211902618408,12.2063467502594
24,0.6828721570650736,0.78015,0.6901167521476745,0.7842,10.566927671432495,1.742326259613037,12.309256076812744
25,0.6846316266695658,0.7816833333333333,0.6917603871822358,0.7864,10.388447999954224,1.759894847869873,12.148344993591309
26,0.6803926985104879,0.78275,0.6910090190410614,0.7848,10.511639833450317,1.7582759857177734,12.269917488098145
27,0.6815665963808696,0.7824833333333333,0.6919469691753387,0.7858,10.529727935791016,1.7751445770263672,12.304874658584595
28,0.6804653803825378,0.7829666666666667,0.6885121334075928,0.7851,10.577656745910645,1.7242696285247803,12.301928758621216
29,0.6767345666249593,0.7844,0.6884670366764069,0.7856,10.60529088973999,1.7633132934570312,12.368606090545654
30,0.6808427977244059,0.784,0.6906161751747132,0.7813,10.471133708953857,1.7722163200378418,12.243351936340332
