epoch,train_loss,train_acc,test_loss,test_acc,train_time,eval_time,epoch_time
1,0.8074991744041443,0.7248,0.5887808486938476,0.7963,24.538793325424194,2.587578773498535,27.126374006271362
2,0.4719804571247101,0.83918,0.49769334416389466,0.8312,24.228276014328003,2.5948052406311035,26.82308268547058
3,0.3511703327560425,0.8794,0.5206906555175781,0.8292,24.169682264328003,2.43233060836792,26.602015018463135
4,0.2901398192024231,0.90218,0.47988204340934754,0.8388,24.35069727897644,2.5719683170318604,26.922667264938354
5,0.24774303496837616,0.91518,0.4526197995185852,0.8472,24.3250994682312,2.582791566848755,26.90789294242859
6,0.23364836176872253,0.91928,0.48502698612213135,0.8474,24.339123964309692,2.597243070602417,26.93636918067932
7,0.19333017400741578,0.93326,0.5083644800186157,0.8418,24.405741453170776,2.5917282104492188,26.997472047805786
8,0.18541123668193818,0.93604,0.5219582166194916,0.8427,24.237784147262573,2.5690181255340576,26.806804180145264
9,0.16277958565235137,0.94366,0.4809012881278992,0.8528,24.341665983200073,2.5285580158233643,26.87022590637207
10,0.14281648071289063,0.95114,0.5270534519195557,0.8424,24.166992664337158,2.4604642391204834,26.62746024131775
11,0.13115098350048066,0.95462,0.571571425819397,0.8383,23.86619472503662,2.6204781532287598,26.486674308776855
12,0.12618087099075317,0.9558,0.5384718546867371,0.8489,23.899107456207275,2.5833969116210938,26.482506275177002
13,0.11609429974079132,0.9601,0.5552683611869812,0.8463,24.073659420013428,2.586265802383423,26.65992784500122
14,0.1111231953907013,0.96138,0.5494558331489563,0.8465,23.968785762786865,2.5930936336517334,26.56188178062439
15,0.10752490712642669,0.96224,0.5736870857238769,0.8465,23.56529688835144,2.588383913040161,26.153682947158813
16,0.11015859346866608,0.96142,0.5820007762908935,0.839,24.04903268814087,2.600788116455078,26.64982318878174
17,0.0981184132385254,0.96642,0.5299480829238892,0.849,23.908194541931152,2.5382041931152344,26.446401834487915
18,0.0926352871632576,0.96754,0.585746040058136,0.8444,24.311870336532593,2.539166212081909,26.851040363311768
19,0.09346214224815369,0.96744,0.5727688480377198,0.8472,24.031584978103638,2.3585124015808105,26.390099048614502
20,0.08988080318450928,0.96882,0.5986218877792359,0.8447,24.345484495162964,2.7018537521362305,27.047340393066406
