epoch,train_loss,train_acc,test_loss,test_acc,train_time,eval_time,epoch_time
1,1.2412547912279766,0.61715,0.9558310332298279,0.7187,10.367850303649902,1.746652603149414,12.114505052566528
2,0.8986105398813884,0.7245333333333334,0.8532678272247315,0.7422,10.431103944778442,1.7692365646362305,12.200342893600464
3,0.8293721692721049,0.7426,0.8031088089942933,0.7575,10.477436542510986,1.759660243988037,12.237098932266235
4,0.7938471554756165,0.7539666666666667,0.7750817625045776,0.7644,10.430603742599487,1.722059965133667,12.152665853500366
5,0.7730920349438986,0.7585333333333333,0.7656561387062073,0.7671,10.313735008239746,1.764228343963623,12.077965259552002
6,0.755166742102305,0.7624666666666666,0.7489910636901855,0.7698,10.526317119598389,1.7385339736938477,12.264852523803711
7,0.7440079362233479,0.7656833333333334,0.7459063777923584,0.7693,10.650625228881836,1.751575231552124,12.402202367782593
8,0.7349559589385987,0.7686166666666666,0.7353688314914704,0.7738,10.47368311882019,1.7548317909240723,12.228516817092896
9,0.7271565436999003,0.7712833333333333,0.7190819176673889,0.7776,10.495189905166626,1.7438960075378418,12.239088296890259
10,0.721304746278127,0.7719666666666667,0.7255156467437744,0.7786,10.477412462234497,1.7818610668182373,12.259274959564209
11,0.7145439677238464,0.7742333333333333,0.7141208090305329,0.7798,10.369301795959473,1.7560944557189941,12.1253981590271
12,0.709261446126302,0.7755666666666666,0.7138638428211213,0.7791,10.47091555595398,1.7444002628326416,12.215317964553833
13,0.7063459619204203,0.7749333333333334,0.7156484359264373,0.7782,10.319360971450806,1.745082139968872,12.064444780349731
14,0.7057314041455587,0.7766333333333333,0.7065425536155701,0.7826,10.490227222442627,1.7513353824615479,12.24156379699707
15,0.699274979686737,0.7773,0.70626759557724,0.7783,10.439664363861084,1.7480618953704834,12.18772840499878
16,0.69510623032252,0.7802,0.7038851806163788,0.7815,10.477465391159058,1.7202649116516113,12.197735786437988
17,0.6959785057703654,0.7779333333333334,0.7026551055908203,0.781,10.378130197525024,1.7741248607635498,12.152256727218628
18,0.688963658841451,0.7812666666666667,0.6949866095542908,0.783,10.494574308395386,1.7636096477508545,12.258185863494873
19,0.6907389274279276,0.7794833333333333,0.7057572418689728,0.7802,10.474068880081177,1.7659034729003906,12.23997449874878
20,0.6891209126154582,0.7795,0.6965394894599914,0.7826,10.097408056259155,1.5026371479034424,11.600047826766968
21,0.6886430190722148,0.7816333333333333,0.6916891648769379,0.785,10.561490297317505,1.7753210067749023,12.33681321144104
22,0.6837346109390259,0.7826333333333333,0.7014690184593201,0.7791,10.553552627563477,1.769874095916748,12.323428630828857
23,0.6823657292683919,0.7830333333333334,0.6907596952438354,0.7859,10.482619762420654,1.7512741088867188,12.233895540237427
24,0.6868810821533203,0.7825333333333333,0.692955916929245,0.7823,10.528239965438843,1.7640624046325684,12.292304277420044
25,0.6870930737177531,0.7821333333333333,0.6861212581634522,0.7872,10.487111568450928,1.7378365993499756,12.224949836730957
26,0.6811757003466288,0.7828166666666667,0.6886931216716766,0.7862,10.544695377349854,1.7371046543121338,12.281801462173462
27,0.682598707485199,0.7819333333333334,0.6934406458854675,0.7833,10.537580013275146,1.7370643615722656,12.274646043777466
28,0.6798454999605814,0.78295,0.6901694208145142,0.7859,10.321056842803955,1.7653183937072754,12.086377620697021
29,0.6775973611195882,0.78305,0.6850267281532287,0.7843,10.404797315597534,1.7450802326202393,12.149879693984985
30,0.6784799891789755,0.7836666666666666,0.6915108907222748,0.7832,10.449757099151611,1.7741518020629883,12.223910808563232
