epoch,train_loss,train_acc,test_loss,test_acc,train_time,eval_time,epoch_time
1,0.10303219790458679,0.9696333333333333,0.0298418307736516,0.9913,13.845022201538086,1.6656701564788818,15.510696411132812
2,0.026217945317427317,0.9920333333333333,0.025793726674467325,0.9922,15.20715856552124,1.7015352249145508,16.908694982528687
3,0.018095532658572,0.99495,0.0196073449610034,0.9934,15.111942052841187,1.6769537925720215,16.78889775276184
4,0.01188622683143864,0.9965666666666667,0.02404420238848543,0.9927,15.01839828491211,1.6862857341766357,16.7046856880188
5,0.009127032751124352,0.9972833333333333,0.0248122676926665,0.9928,15.132835626602173,1.6710255146026611,16.803862810134888
6,0.010065424572241802,0.99685,0.022191965858102777,0.9943,15.07331657409668,1.6905529499053955,16.763871431350708
7,0.00992913918622459,0.9970166666666667,0.021231251032231377,0.9928,15.069922685623169,1.7056233882904053,16.775548458099365
8,0.006865107849209259,0.9980666666666667,0.017893130428274163,0.9946,15.00438666343689,1.675558090209961,16.679946422576904
9,0.004590078410056109,0.9985166666666667,0.01982696481361054,0.9944,15.178489685058594,1.6870782375335693,16.865569353103638
10,0.004159467238063614,0.99875,0.020303573082096408,0.9945,15.066100835800171,1.6734182834625244,16.739521026611328
11,0.006360601493654152,0.9979666666666667,0.02243870665775612,0.9941,13.603739261627197,1.453674554824829,15.05741572380066
12,0.006345840860546256,0.9981166666666667,0.020916993393178564,0.9941,12.512922763824463,1.4440584182739258,13.956982612609863
13,0.005687703230092302,0.9982666666666666,0.021460461646254408,0.994,12.963257789611816,1.6824636459350586,14.645723104476929
14,0.004790082626005945,0.9986333333333334,0.019454380346403923,0.9944,15.187393188476562,1.6010479927062988,16.788442611694336
15,0.006522906526830048,0.99805,0.03316138020837679,0.9916,15.10521388053894,1.6808552742004395,16.786070823669434
16,0.005518232963668803,0.9983333333333333,0.018646274639980403,0.9952,14.980643033981323,1.6747286319732666,16.65537405014038
17,0.0068200123065461716,0.9981666666666666,0.02268306267489679,0.9936,15.084167957305908,1.693471908569336,16.77764129638672
18,0.00672711750655435,0.9978833333333333,0.019375495876511557,0.9941,15.11054015159607,1.6983284950256348,16.80887007713318
19,0.0038625988725417603,0.99885,0.02095941394532565,0.9942,15.025858879089355,1.6866135597229004,16.712474584579468
20,0.005137053601847341,0.9983666666666666,0.01982567013669759,0.9948,15.073059797286987,1.6975555419921875,16.77061676979065
