epoch,train_loss,train_acc,test_loss,test_acc,train_time,eval_time,epoch_time
1,0.9043914917373658,0.68872,0.6545221197128296,0.7729,12.127657175064087,1.419424057006836,13.547083139419556
2,0.5661530729866028,0.807,0.6402689126014709,0.7834,11.825177431106567,1.502206563949585,13.327385425567627
3,0.46362586171150205,0.84224,0.5669122879981995,0.8062,12.423416376113892,1.5323147773742676,13.955732583999634
4,0.3970309369945526,0.86292,0.5855682258605956,0.8036,12.157933712005615,1.4846012592315674,13.642537832260132
5,0.35388820623397826,0.87762,0.5155218885421753,0.8252,12.251195669174194,1.3992383480072021,13.65043568611145
6,0.30643848783493044,0.8953,0.5303494298934937,0.8234,12.240908145904541,1.5174791812896729,13.758388996124268
7,0.2756661527252197,0.90578,0.5650368998527527,0.8242,11.744443655014038,1.6292705535888672,13.373724699020386
8,0.26020069021224973,0.90892,0.5172409386634826,0.8377,12.758797645568848,1.512186050415039,14.270987033843994
9,0.2325500308227539,0.91898,0.5392653661727905,0.8329,11.891505241394043,1.6458775997161865,13.53738522529602
10,0.21688163791656495,0.92418,0.5801721364974975,0.83,12.009192943572998,1.5348570346832275,13.544051885604858
11,0.20007443917274476,0.93156,0.5635502188682556,0.8305,12.342105627059937,1.5267977714538574,13.868905782699585
12,0.18280283308029174,0.93664,0.608770405292511,0.8261,11.954505681991577,1.3687772750854492,13.323285818099976
13,0.17491730237007141,0.93914,0.6248132051467895,0.8257,12.187592506408691,1.52341890335083,13.711014032363892
14,0.1639665246963501,0.943,0.6251493007659912,0.825,12.05963945388794,1.463120698928833,13.522763729095459
15,0.15805167286396027,0.94558,0.6150217293739318,0.8237,12.079311847686768,1.5368812084197998,13.616194248199463
16,0.152428034491539,0.94712,0.622530172920227,0.8259,12.396646738052368,1.5195345878601074,13.916183471679688
17,0.1430593412065506,0.95026,0.6697732115745545,0.819,11.94480562210083,1.6229238510131836,13.56773328781128
18,0.13546069444775583,0.95322,0.5941270046234131,0.8325,12.927634477615356,1.5763115882873535,14.503948211669922
19,0.132990027987957,0.95498,0.6160997486114502,0.8309,11.823823690414429,1.5339851379394531,13.357810497283936
20,0.1298827052974701,0.95494,0.6517951632499694,0.8293,12.037832975387573,1.5690228939056396,13.606857538223267
