epoch,train_loss,train_acc,test_loss,test_acc,train_time,eval_time,epoch_time
1,0.11552780653337638,0.9664166666666667,0.04158333734348416,0.9872,15.081081867218018,1.503277063369751,16.584360599517822
2,0.025633170607313512,0.9922333333333333,0.03194788778424263,0.9901,15.130754947662354,1.4263386726379395,16.557095527648926
3,0.014916970692388714,0.9957666666666667,0.027900141981802882,0.9915,15.225266933441162,1.4898827075958252,16.715151071548462
4,0.010213821377481024,0.9969833333333333,0.019966659689182417,0.9939,14.986231565475464,1.5020205974578857,16.488253831863403
5,0.006839018106771012,0.9981666666666666,0.019949501280393453,0.9943,14.935194492340088,1.50252103805542,16.43771767616272
6,0.004802202876967689,0.99865,0.02626038962351158,0.9924,14.928187847137451,1.4882478713989258,16.41643738746643
7,0.004463818219086776,0.9987666666666667,0.01990827339347452,0.9942,14.97118616104126,1.4985625743865967,16.46975088119507
8,0.002068611713685095,0.9997166666666667,0.0167101790105924,0.9946,15.111709833145142,1.6064612865447998,16.718173027038574
9,0.0007748419711676737,0.9999666666666667,0.029098258098494263,0.9925,15.126084089279175,1.458397626876831,16.58448338508606
10,0.0032725335059687493,0.99915,0.017600765350903384,0.9947,14.87282419204712,1.477698802947998,16.35052466392517
11,0.0020068961608223617,0.9995666666666667,0.01891694424203597,0.9946,14.725281476974487,1.472435474395752,16.197718858718872
12,0.0009900467851043989,0.9999333333333333,0.018205910540837793,0.9947,14.857454299926758,1.4970927238464355,16.354548454284668
13,0.001093306350366523,0.9998666666666667,0.017075273127295076,0.995,14.64384126663208,1.4204378128051758,16.06428074836731
14,0.0005243039121385663,1.0,0.016422196555882694,0.9953,15.42823338508606,1.5002727508544922,16.928508043289185
15,0.0005155191010485093,1.0,0.01609744417667389,0.9956,15.122684478759766,1.5478835105895996,16.670570135116577
16,0.0005445938901975751,1.0,0.01596895016990602,0.9955,15.042564392089844,1.5873284339904785,16.629894495010376
17,0.0005415522111269335,1.0,0.015865941827278584,0.9955,15.372845888137817,1.3571522235870361,16.72999930381775
18,0.0005807422330913445,1.0,0.015598111559543758,0.9959,15.45693325996399,1.4595155715942383,16.916450262069702
19,0.0006106554795367022,1.0,0.016068141964590176,0.9957,15.139832258224487,1.5465857982635498,16.68641996383667
20,0.0006259386862628161,1.0,0.01571279041818343,0.996,15.166342735290527,1.591442346572876,16.757786512374878
