epoch,train_loss,train_acc,test_loss,test_acc,train_time,eval_time,epoch_time
1,1.2626330124282836,0.53856,1.0986719520568848,0.6098,16.18044424057007,1.4903652667999268,17.670811414718628
2,0.7683126692199707,0.7307,0.7989261497497558,0.7293,16.42518377304077,1.4977209568023682,17.922906637191772
3,0.57994681183815,0.80048,0.8100473215579986,0.734,16.189061403274536,1.537369728088379,17.72643232345581
4,0.4572059241294861,0.84312,0.6651272870063781,0.7733,16.438581705093384,1.4373905658721924,17.875974416732788
5,0.36583494690418245,0.87642,0.6282205076217652,0.7839,16.261776208877563,1.5165023803710938,17.778280019760132
6,0.29324412962913515,0.8995,0.612348860502243,0.8059,16.413625717163086,1.3558950424194336,17.769522428512573
7,0.22988082190513612,0.92028,0.5978932086944581,0.8133,16.45616388320923,1.566377878189087,18.022544145584106
8,0.1931036890602112,0.93358,0.5764907469749451,0.8198,16.20208978652954,1.0926916599273682,17.29478359222412
9,0.15200257660388947,0.94816,0.7017806226730346,0.809,11.188347578048706,1.0736010074615479,12.261950254440308
10,0.12931871829986571,0.95584,0.6224544266700744,0.8238,11.18848443031311,1.0734138488769531,12.261899471282959
11,0.10881159856319428,0.96274,0.6292530088424683,0.8317,11.180969715118408,1.072300910949707,12.253272294998169
12,0.08995315864086151,0.96946,0.6301933522224427,0.8316,11.18193793296814,1.0726063251495361,12.254545450210571
13,0.07767674236536026,0.97284,0.6192921307563781,0.8392,11.170708417892456,1.0741658210754395,12.24487566947937
14,0.06818055334329605,0.97656,0.7514018838882446,0.8154,11.165266036987305,1.070096492767334,12.235364437103271
15,0.06310523157596588,0.978,0.713461808013916,0.825,11.16706109046936,1.0708298683166504,12.237892866134644
16,0.05929086948335171,0.9796,0.6175909471035004,0.844,11.164951801300049,1.072021484375,12.236975193023682
17,0.055709087133407595,0.9807,0.6126624970436096,0.8481,11.167363405227661,1.0722346305847168,12.239599466323853
18,0.05366178074359894,0.98156,0.6575220912933349,0.842,11.168120622634888,1.072417974472046,12.240539312362671
19,0.0515025658506155,0.98274,0.6772138517379761,0.8368,11.16173005104065,1.0710844993591309,12.232815980911255
20,0.043422843331992624,0.98516,0.6752308364868164,0.8418,11.177161455154419,1.072800636291504,12.249963521957397
