epoch,train_loss,train_acc,test_loss,test_acc,train_time,eval_time,epoch_time
1,0.11138658454269171,0.9679333333333333,0.060707768297940494,0.9817,20.768908739089966,1.7421159744262695,22.51102614402771
2,0.03193302197493613,0.99045,0.02474902724083513,0.992,21.04663872718811,1.7618663311004639,22.80850625038147
3,0.02369527654076616,0.9929333333333333,0.030276898762211204,0.9894,21.079779863357544,1.6241910457611084,22.703972578048706
4,0.01595556719377637,0.9953833333333333,0.024578536571282894,0.9936,20.94417381286621,1.7625863552093506,22.706762075424194
5,0.014991681024556358,0.9956833333333334,0.03450986902853474,0.9911,21.05595636367798,1.716700553894043,22.772658586502075
6,0.012718810793633262,0.9963,0.04918789905905724,0.986,20.552061557769775,1.6897177696228027,22.241780757904053
7,0.011789894864832362,0.9965333333333334,0.026113756350521,0.9931,20.778438091278076,1.6985881328582764,22.47702717781067
8,0.009085319823399185,0.99725,0.021894346811622382,0.9939,20.672643184661865,1.6617529392242432,22.334396839141846
9,0.008310436096880584,0.9978666666666667,0.01918479855954647,0.995,20.687596559524536,1.7102937698364258,22.397891998291016
10,0.007192428190695743,0.9980166666666667,0.02620435387827456,0.9929,20.664848804473877,1.6821870803833008,22.347037315368652
11,0.007931161013990641,0.9979333333333333,0.02175393895814195,0.9938,20.517198085784912,1.7006034851074219,22.21780300140381
12,0.009944688199739904,0.9971666666666666,0.023191843376029284,0.9943,20.777883529663086,1.683211088180542,22.461096048355103
13,0.007703596955227355,0.9978166666666667,0.022212353120557964,0.9941,20.459532499313354,1.744659662246704,22.20419406890869
14,0.007735086801958581,0.99785,0.02089050732399337,0.9949,20.78686261177063,1.6978800296783447,22.48474383354187
15,0.006197475096024573,0.9983166666666666,0.029015782293118537,0.992,20.542339324951172,1.7232604026794434,22.26560115814209
16,0.005695396882730226,0.9985833333333334,0.030265866546891628,0.9922,20.75497007369995,1.6700406074523926,22.425012350082397
17,0.0037122294931362073,0.9991666666666666,0.019272839455120264,0.9949,20.577205657958984,1.702009916305542,22.27921724319458
18,0.005400068228660773,0.9986166666666667,0.03050609160703607,0.9923,20.69352149963379,1.76206374168396,22.455586671829224
19,0.009734136697401603,0.9972333333333333,0.024528191258432343,0.9935,20.72401523590088,1.6149051189422607,22.338922023773193
20,0.007914973728731275,0.99785,0.02174895291123539,0.9946,21.11119508743286,2.031506299972534,23.14270281791687
