epoch,train_loss,train_acc,test_loss,test_acc,train_time,eval_time,epoch_time
1,1.1317412369918822,0.5921,0.9494132474422455,0.6642,14.191644668579102,1.4217519760131836,15.613398313522339
2,0.6840302597236634,0.76216,0.6828537970542907,0.7655,14.217780590057373,1.3368360996246338,15.55461859703064
3,0.5044488954544067,0.82592,0.6244822830200195,0.7864,14.233808517456055,1.387477159500122,15.62128734588623
4,0.38655667238235475,0.867,0.581781749677658,0.8028,14.338794231414795,1.2096121311187744,15.548408031463623
5,0.30130749322891237,0.8964,0.6880620639801025,0.7824,14.336046695709229,1.303018569946289,15.63906741142273
6,0.23465664629936217,0.9188,0.6587630669116974,0.7974,14.325035572052002,1.3004956245422363,15.625532388687134
7,0.1767791369152069,0.93832,0.6447726939678192,0.8102,14.238112211227417,1.318544626235962,15.556659460067749
8,0.14055722101211549,0.95122,0.6296335708618164,0.8168,14.215229988098145,1.2245652675628662,15.439797401428223
9,0.11564837036132812,0.9594,0.671647514629364,0.8155,14.342472553253174,1.3287768363952637,15.671251058578491
10,0.09196792408704757,0.96872,0.6417331828117371,0.8276,14.22963571548462,1.326284408569336,15.555921792984009
11,0.07571297609090805,0.97392,0.7264226949691772,0.8151,14.320596933364868,1.3472926616668701,15.667891502380371
12,0.06881437272310258,0.97596,0.6673798277258873,0.8249,14.30980896949768,1.231564998626709,15.541376113891602
13,0.05319448875784874,0.98206,0.7213514472961425,0.8261,14.247808456420898,1.3047902584075928,15.552600145339966
14,0.049424532140493395,0.9823,0.8499001852035523,0.8101,14.315505027770996,1.4189352989196777,15.734442234039307
15,0.0497924029058218,0.98272,0.7199801700592041,0.8307,13.943688154220581,1.3166160583496094,15.260305881500244
16,0.044525237072706225,0.98458,0.688785884475708,0.8364,13.6958167552948,1.3614449501037598,15.057263374328613
17,0.030731450997591017,0.99026,0.7155947452545166,0.8377,13.982756614685059,1.367053508758545,15.349812269210815
18,0.036247635911107065,0.9879,0.7304635374069214,0.8343,13.985241889953613,1.2941203117370605,15.279364824295044
19,0.041822750951051715,0.98576,0.6902262408256531,0.8321,13.82031512260437,1.2946562767028809,15.114972829818726
20,0.03305134354114533,0.98896,0.7231336019515991,0.8314,14.003928899765015,1.3732531070709229,15.37718391418457
